# 40 large-cap US names, spread across sectors, all liquid enough that the cost model
# is not the whole story. Chosen for coverage, not for any view on them.
#
# Survivorship bias: this is a list of companies that are large today. Anything that
# blew up or was acquired between 2010 and now is not here, which flatters the results.
# See docs/ASSUMPTIONS.md.
ticker,name,sector
AAPL,Apple,Technology
MSFT,Microsoft,Technology
NVDA,NVIDIA,Technology
AVGO,Broadcom,Technology
ORCL,Oracle,Technology
CSCO,Cisco Systems,Technology
ADBE,Adobe,Technology
CRM,Salesforce,Technology
GOOGL,Alphabet,Communication Services
META,Meta Platforms,Communication Services
NFLX,Netflix,Communication Services
DIS,Walt Disney,Communication Services
AMZN,Amazon,Consumer Discretionary
TSLA,Tesla,Consumer Discretionary
HD,Home Depot,Consumer Discretionary
MCD,McDonald's,Consumer Discretionary
NKE,Nike,Consumer Discretionary
PG,Procter & Gamble,Consumer Staples
KO,Coca-Cola,Consumer Staples
PEP,PepsiCo,Consumer Staples
WMT,Walmart,Consumer Staples
JNJ,Johnson & Johnson,Health Care
UNH,UnitedHealth,Health Care
MRK,Merck,Health Care
ABBV,AbbVie,Health Care
PFE,Pfizer,Health Care
JPM,JPMorgan Chase,Financials
BAC,Bank of America,Financials
GS,Goldman Sachs,Financials
AXP,American Express,Financials
BLK,BlackRock,Financials
XOM,Exxon Mobil,Energy
CVX,Chevron,Energy
COP,ConocoPhillips,Energy
BA,Boeing,Industrials
CAT,Caterpillar,Industrials
HON,Honeywell,Industrials
UPS,United Parcel Service,Industrials
NEE,NextEra Energy,Utilities
LIN,Linde,Materials
