date,gross_return,net_return,cost,turnover,long_return,short_return,gross_exposure,net_exposure,long_names,short_names,benchmark_return
2010-01-04,0,0,0,0,0,0,0,0,0,0,
2010-01-05,0,0,0,0,0,0,0,0,0,0,0.002647243505
2010-01-06,0,0,0,0,0,0,0,0,0,0,0.0007038098578
2010-01-07,0,0,0,0,0,0,0,0,0,0,0.00422150741
2010-01-08,0,0,0,0,0,0,0,0,0,0,0.003327753803
2010-01-11,0,0,0,0,0,0,0,0,0,0,0.001396606172
2010-01-12,0,0,0,0,0,0,0,0,0,0,-0.009326354695
2010-01-13,0,0,0,0,0,0,0,0,0,0,0.008445828048
2010-01-14,0,0,0,0,0,0,0,0,0,0,0.002704767565
2010-01-15,0,0,0,0,0,0,0,0,0,0,-0.01122386897
2010-01-19,0,0,0,0,0,0,0,0,0,0,0.01249510062
2010-01-20,0,0,0,0,0,0,0,0,0,0,-0.01016837263
2010-01-21,0,0,0,0,0,0,0,0,0,0,-0.01922904132
2010-01-22,0,0,0,0,0,0,0,0,0,0,-0.02229182921
2010-01-25,0,0,0,0,0,0,0,0,0,0,0.005127655482
2010-01-26,0,0,0,0,0,0,0,0,0,0,-0.004190774633
2010-01-27,0,0,0,0,0,0,0,0,0,0,0.004757200144
2010-01-28,0,0,0,0,0,0,0,0,0,0,-0.01147242412
2010-01-29,0,0,0,0,0,0,0,0,0,0,-0.01086810881
2010-02-01,0,0,0,0,0,0,0,0,0,0,0.01555047323
2010-02-02,0,0,0,0,0,0,0,0,0,0,0.01210365779
2010-02-03,0,0,0,0,0,0,0,0,0,0,-0.004983003164
2010-02-04,0,0,0,0,0,0,0,0,0,0,-0.03086563682
2010-02-05,0,0,0,0,0,0,0,0,0,0,0.002066482416
2010-02-08,0,0,0,0,0,0,0,0,0,0,-0.007218923206
2010-02-09,0,0,0,0,0,0,0,0,0,0,0.01256051548
2010-02-10,0,0,0,0,0,0,0,0,0,0,-0.001959154657
2010-02-11,0,0,0,0,0,0,0,0,0,0,0.01046624701
2010-02-12,0,0,0,0,0,0,0,0,0,0,-0.0008318832024
